# HIRAGANA

a,あ
i,い
u,う
e,え
o,お

ka,か
ki,き
ku,く
ke,け
ko,こ

sa,さ
shi,し
su,す
se,せ
so,そ

ta,た
chi,ち
tsu,つ
te,て
to,と

na,な
ni,に
nu,ぬ
ne,ね
no,の

ha,は
hi,ひ
fu,ふ
he,へ
ho,ほ

ma,ま
mi,み
mu,む
me,め
mo,も

ya,や
yu,ゆ
yo,よ

ra,ら
ri,り
ru,る
re,れ
ro,ろ

wa,わ
wo,を

n,ん

# HIRA - Dakuten/Handakuten

ga,が
gi,ぎ
gu,ぐ
ge,げ
go,ご

za,ざ
ji,じ
zu,ず
ze,ぜ
zo,ぞ

da,だ
ji,ぢ
zu,づ
de,で
do,ど

ba,ば
bi,び
bu,ぶ
be,べ
bo,ぼ

pa,ぱ
pi,ぴ
pu,ぷ
pe,ぺ
po,ぽ

# HIRA - YOON

kya,きゃ
kyu,きゅ
kyou,きょ

sha,しゃ
shu,しゅ
sho,しょ

cha,ちゃ
chu,ちゅ
cho,ちょ

nya,にゃ
nyu,にゅ
nyo,にょ

hya,ひゃ
hyu,ひゅ
hyo,ひょ

mya,みゃ
myu,みゅ
myo,みょ

rya,りゃ
ryu,りゅ
ryo,りょ

gya,ぎゃ
gyu,ぎゅ
gyo,ぎょ

ja,じゃ
ju,じゅ
jo,じょ

bya,びゃ
byu,びゅ
byo,びょ

pya,ぴゃ
pyu,ぴゅ
pyo,ぴょ

# HIRA - SOUKON

kka,っか
kki,っき
kku,っく
kke,っけ
kko,っこ

ssa,っさ
sshi,っし
ssu,っす
sse,っせ
sso,っそ

tta,った
ttchi,っち
ttsu,っつ
tte,って
tto,っと

nna,っな
nni,っに
nnu,っぬ
nne,っね
nno,っの

hha,っは
hhi,っひ
ffu,っふ
hhe,っへ
hho,っほ

mma,っま
mmi,っみ
mmu,っむ
mme,っめ
mmo,っも

yya,っや
yyu,っゆ
yyo,っよ

rra,っら
rri,っり
rru,っる
rre,っれ
rro,っろ

wwa,っわ
wwo,っを

gga,っが
ggi,っぎ
ggu,っぐ
gge,っげ
ggu,っご

zza,っざ
jji,っじ
zzu,っず
zze,っぜ
zzo,っぞ

dda,っだ
jji,っぢ
ddu,っづ
dde,っで
ddo,っど

bba,っば
bbi,っび
bbu,っぶ
bbe,っべ
bbo,っぼ

ppa,っぱ
ppi,っぴ
ppu,っぷ
ppe,っぺ
ppo,っぽ

kkya,っきゃ
kkyu,っきゅ
kkyo,っきょ

ssha,っしゃ
sshu,っしゅ
ssho,っしょ

ccha,っちゃ
cchu,っちゅ
ccho,っちょ

nnya,っにゃ
nnnyu,っにゅ
nnnyo,っにょ

hhya,っひゃ
hhyu,っひゅ
hhyo,っひょ

mmya,っみゃ
mmyu,っみゅ
mmyo,っみょ

rrya,っりゃ
rryu,っりゅ
rryo,っりょ

ggya,っぎゃ
ggyu,っぎゅ
ggyo,っぎょ

jja,っじゃ
jju,っじゅ
jjo,っじょ

bbya,っびゃ
bbyu,っびゅ
bbyo,っびょ

ppya,っぴゃ
ppyu,っぴゅ
ppyo,っぴょ



# KATAKANA


# KATAKANA

A,ア
I,イ
U,ウ
E,エ
O,オ

KA,カ
KI,キ
KU,ク
KE,ケ
KO,コ

SA,サ
SHI,シ
SU,ス
SE,セ
SO,ソ

TA,タ
CHI,チ
TSU,ツ
TE,テ
TO,ト

NA,ナ
NI,ニ
NU,ヌ
NE,ネ
NO,ノ

HA,ハ
HI,ヒ
FU,フ
HE,ヘ
HO,ホ

MA,マ
MI,ミ
MU,ム
ME,メ
MO,モ

YA,ヤ
YU,ユ
YO,ヨ

RA,ラ
RI,リ
RU,ル
RE,レ
RO,ロ

WA,ワ
WO,ヲ

N,ン

# KATA - DAKUTEN/HANDAKUTEN

GA,ガ
GI,ギ
GU,グ
GE,ゲ
GO,ゴ

ZA,ザ
JI,ジ
ZU,ズ
ZE,ゼ
ZO,ゾ

DA,ダ
JI,ヂ
ZU,ヅ
DE,デ
DO,ド

BA,バ
BI,ビ
BU,ブ
BE,ベ
BO,ボ

PA,パ
PI,ピ
PU,プ
PE,ペ
PO,ポ

# KATA - YOON

KYA,キャ
KYU,キュ
KYOU,キョ

SHA,シャ
SHU,シュ
SHO,ショ

CHA,チャ
CHU,チュ
CHO,チョ

NYA,ニャ
NYU,ニュ
NYO,ニョ

HYA,ヒャ
HYU,ヒュ
HYO,ヒョ

MYA,ミャ
MYU,ミュ
MYO,ミョ

RYA,リャ
RYU,リュ
RYO,リョ

GYA,ギャ
GYU,ギュ
GYO,ギョ

JA,ジャ
JU,ジュ
JO,ジョ

BYA,ビャ
BYU,ビュー
BYO,ビョ

PYA,ピャ
PYU,ピュ
PYO,ピョ

# KATA - CHOONPU

AA,アー
II,イー
UU,ウー
EE,エー
OO,オー

KAA,カー
KII,キー
KUU,クー
KEE,ケー
KOO,コー

SAA,サー
SHII,シー
SUU,スー
SEE,セー
SOO,ソー

TAA,ター
CHII,チー
TSUU,ツー
TEE,テー
TOO,トー

NAA,ナー
NII,ニー
NUU,ヌー
NEE,ネー
NOO,ノー

HAA,ハー
HII,ヒー
FUU,フー
HEE,ヘー
HOO,ホー

MAA,マー
MII,ミー
MUU,ムー
MEE,メー
MOO,モー

YAA,ヤー
YUU,ユー
YOO,ヨー

RAA,ラー
RII,リー
RUU,ルー
REE,レー
ROO,ロー

WAA,ワー
WOO,ヲー

GAA,ガー
GII,ギー
GUU,グー
GEE,ゲー
GOO,ゴー

ZAA,ザー
JII,ジー
ZUU,ズー
ZEE,ゼー
ZOO,ゾー

DAA,ダー
JII,ヂー
ZUU,ヅー
DEE,デー
DOO,ドー

BAA,バー
BII,ビー
BUU,ブー
BEE,ベー
BOO,ボー

PAA,パー
PII,ピー
PUU,プー
PEE,ペー
POO,ポー

KYAA,キャー
KYUU,キュー
KYOO,キョー

SHAA,シャー
SHUU,シュー
SHOO,ショー

CHAA,チャー
CHUU,チュー
CHOO,チョー

NYAA,ニャー
NYUU,ニュー
NYOO,ニョー

HYAA,ヒャー
HYUU,ヒュー
HYOO,ヒョー

MYAA,ミャー
MYUU,ミュー
MYOO,ミョー

RYAA,リャー
RYUU,リュー
RYOO,リョー

GYAA,ギャー
GYUU,ギュー
GYOO,ギョー

JAA,ジャー
JUU,ジュー
JOO,ジョー

BYAA,ビャー
BYUU,ビュー
BYOO,ビョー

PYAA,ピャー
PYUU,ピュー
PYOO,ピョー

# KATA - SOUKON

KKA,ッカ
KKI,ッキ
KKU,ック
KKE,ッケ
KKO,ッコ

SSA,ッサ
SSHI,ッシ
SSU,ッス
SSE,ッセ
SSO,ッソ

TTA,ッタ
TTCHI,ッチ
TTSU,ッツ
TTE,ッテ
TTO,ット

NNA,ッナ
NNI,ッニ
NNU,ッヌ
NNE,ッネ
NNO,ッノ

HHA,ッハ
HHI,ッヒ
FFU,ッフ
HHE,ッヘ
HHO,ッホ

MMA,ッマ
MMI,ッミ
MMU,ッム
MME,ッメ
MMO,ッモ

YYA,ッヤ
YYU,ッユ
YYO,ッヨ

RRA,ッラ
RRI,ッリ
RRU,ッル
RRE,ッレ
RRO,ッロ

WWA,ッワ
WWO,ッヲ

GGA,ッガ
GGI,ッギ
GGU,ッグ
GGE,ッゲ
GGU,ッゴ

ZZA,ッザ
JJI,ッジ
ZZU,ッズ
ZZE,ッゼ
ZZO,ッゾ

DDA,ッダ
JJI,ッヂ
DDU,ッヅ
DDE,ッデ
DDO,ッッド

BBA,ッバ
BBI,ッビ
BBU,ッブ
BBE,ッベ
BBO,ッボ

PPA,ッパ
PPI,ッピ
PPU,ップ
PPE,ッペ
PPO,ッポ

KKYA,ッキャ
KKYU,ッキュ
KKYO,ッキョ

SSHA,ッシャ
SSHU,ッシュ
SSHO,ッショ

CCHA,ッチャ
CCHU,ッチュ
CCHO,ッチョ

NNYA,ッニャ
NNNYU,ッニュ
NNNYO,ッニョ

HHYA,ッヒャ
HHYU,ッヒュ
HHYO,ッヒョ

MMYA,ッミャ
MMYU,ッミュ
MMYO,ッミョ

RRYA,ッリャ
RRYU,ッリュ
RRYO,ッリョ

GGYA,ッギャ
GGYU,ッギュ
GGYO,ッギョ

JJA,ッジャ
JJU,ッジュ
JJO,ッジョ

BBYA,ッビャ
BBYU,ッビュ
BBYO,ッビョ

PPYA,ッピャ
PPYU,ッピュ
PPYO,ッピョ
